chr region1 region2 IF
chr22 16000000 16000000 43
chr22 17000000 17000000 288
chr22 18000000 18000000 293
chr22 19000000 19000000 442
chr22 20000000 20000000 258
chr22 21000000 21000000 247
chr22 22000000 22000000 370
chr22 23000000 23000000 418
chr22 24000000 24000000 410
chr22 25000000 25000000 337
chr22 26000000 26000000 433
chr22 27000000 27000000 419
chr22 28000000 28000000 302
chr22 29000000 29000000 375
chr22 30000000 30000000 359
chr22 31000000 31000000 394
chr22 32000000 32000000 385
chr22 33000000 33000000 372
chr22 34000000 34000000 352
chr22 35000000 35000000 366
chr22 36000000 36000000 398
chr22 37000000 37000000 463
chr22 38000000 38000000 395
chr22 39000000 39000000 396
chr22 40000000 40000000 376
chr22 41000000 41000000 387
chr22 42000000 42000000 393
chr22 43000000 43000000 459
chr22 44000000 44000000 448
chr22 45000000 45000000 398
chr22 46000000 46000000 416
chr22 47000000 47000000 417
chr22 48000000 48000000 466
chr22 49000000 49000000 442
chr22 50000000 50000000 399
chr22 51000000 51000000 90
chr22 16000000 17000000 1
chr22 17000000 18000000 7
chr22 18000000 19000000 5
chr22 19000000 20000000 20
chr22 20000000 21000000 11
chr22 21000000 22000000 8
chr22 22000000 23000000 15
chr22 23000000 24000000 13
chr22 24000000 25000000 13
chr22 25000000 26000000 14
chr22 26000000 27000000 6
chr22 27000000 28000000 7
chr22 28000000 29000000 13
chr22 29000000 30000000 11
chr22 30000000 31000000 14
chr22 31000000 32000000 3
chr22 32000000 33000000 5
chr22 33000000 34000000 9
chr22 34000000 35000000 15
chr22 35000000 36000000 15
chr22 36000000 37000000 14
chr22 37000000 38000000 8
chr22 38000000 39000000 9
chr22 39000000 40000000 27
chr22 40000000 41000000 11
chr22 41000000 42000000 2
chr22 42000000 43000000 2
chr22 43000000 44000000 10
chr22 44000000 45000000 13
chr22 45000000 46000000 4
chr22 46000000 47000000 8
chr22 47000000 48000000 4
chr22 48000000 49000000 6
chr22 49000000 50000000 4
chr22 50000000 51000000 10
chr22 16000000 18000000 4
chr22 16000000 19000000 6
chr22 17000000 19000000 3
chr22 17000000 20000000 2
chr22 18000000 20000000 9
chr22 18000000 21000000 11
chr22 19000000 21000000 3
chr22 19000000 22000000 10
chr22 20000000 22000000 7
chr22 20000000 23000000 7
chr22 21000000 23000000 1
chr22 21000000 24000000 5
chr22 22000000 24000000 2
chr22 22000000 25000000 4
chr22 23000000 25000000 5
chr22 23000000 26000000 4
chr22 24000000 26000000 8
chr22 24000000 27000000 5
chr22 25000000 27000000 7
chr22 25000000 28000000 3
chr22 26000000 28000000 4
chr22 26000000 29000000 3
chr22 27000000 29000000 2
chr22 27000000 30000000 5
chr22 28000000 30000000 7
chr22 28000000 31000000 3
chr22 29000000 31000000 5
chr22 29000000 32000000 6
chr22 30000000 32000000 5
chr22 30000000 33000000 2
chr22 31000000 33000000 3
chr22 31000000 34000000 6
chr22 32000000 34000000 2
chr22 32000000 35000000 2
chr22 33000000 35000000 4
chr22 33000000 36000000 1
chr22 34000000 36000000 2
chr22 34000000 37000000 5
chr22 35000000 37000000 2
chr22 35000000 38000000 3
chr22 36000000 38000000 2
chr22 36000000 39000000 1
chr22 37000000 39000000 4
chr22 37000000 40000000 3
chr22 38000000 40000000 6
chr22 38000000 41000000 10
chr22 39000000 41000000 16
chr22 39000000 42000000 4
chr22 40000000 42000000 4
chr22 40000000 43000000 1
chr22 41000000 43000000 4
chr22 41000000 44000000 3
chr22 42000000 44000000 3
chr22 42000000 45000000 4
chr22 43000000 45000000 4
chr22 43000000 46000000 2
chr22 44000000 46000000 5
chr22 44000000 47000000 6
chr22 45000000 47000000 12
chr22 45000000 48000000 1
chr22 46000000 48000000 4
chr22 46000000 49000000 6
chr22 47000000 49000000 1
chr22 47000000 50000000 5
chr22 48000000 50000000 3
chr22 48000000 51000000 2
chr22 49000000 51000000 2
chr22 16000000 20000000 1
chr22 16000000 21000000 3
chr22 16000000 22000000 6
chr22 17000000 21000000 3
chr22 17000000 22000000 7
chr22 17000000 23000000 7
chr22 18000000 22000000 1
chr22 18000000 23000000 5
chr22 18000000 24000000 1
chr22 19000000 23000000 15
chr22 19000000 24000000 3
chr22 19000000 25000000 5
chr22 20000000 24000000 7
chr22 20000000 25000000 1
chr22 20000000 26000000 2
chr22 21000000 25000000 3
chr22 21000000 26000000 4
chr22 21000000 27000000 6
chr22 22000000 26000000 3
chr22 22000000 27000000 3
chr22 22000000 28000000 5
chr22 23000000 27000000 9
chr22 23000000 28000000 2
chr22 23000000 29000000 3
chr22 24000000 28000000 5
chr22 24000000 29000000 3
chr22 24000000 30000000 3
chr22 25000000 29000000 1
chr22 25000000 30000000 3
chr22 25000000 31000000 4
chr22 26000000 30000000 2
chr22 26000000 31000000 11
chr22 26000000 32000000 6
chr22 27000000 31000000 4
chr22 27000000 32000000 2
chr22 27000000 33000000 21
chr22 28000000 32000000 2
chr22 28000000 33000000 1
chr22 28000000 34000000 3
chr22 29000000 33000000 3
chr22 29000000 34000000 2
chr22 29000000 35000000 2
chr22 30000000 34000000 1
chr22 30000000 35000000 3
chr22 30000000 36000000 2
chr22 31000000 35000000 6
chr22 31000000 36000000 2
chr22 31000000 37000000 1
chr22 32000000 36000000 1
chr22 32000000 37000000 5
chr22 32000000 38000000 2
chr22 33000000 37000000 2
chr22 33000000 38000000 6
chr22 33000000 39000000 5
chr22 34000000 38000000 5
